monitoreo,familia,especie,nombre_comun,meses_desde_inicio,elevacion_m,coord_x,coord_y,altura_anterior,copa_anterior,fito_Bueno,fito_Malo,fito_Regular,gremio_Inicial,gremio_Intermedia,gremio_Tardía,loc_Guayabal,loc_San Antonio,loc_Tres Jotas,altura_actual,copa_actual
2,6,5,10,6,2814,4736212.216614,2199825.558771,0.24,0.12,1,0,0,0,0,1,1,0,0,0.24,0.14
3,6,5,10,12,2814,4736212.216614,2199825.558771,0.24,0.14,1,0,0,0,0,1,1,0,0,0.24,0.15
4,6,5,10,18,2814,4736212.216614,2199825.558771,0.24,0.15,1,0,0,0,0,1,1,0,0,0.24,0.19
2,1,17,2,6,2814,4736163.128984,2199822.023894,0.2,0.15,1,0,0,1,0,0,1,0,0,0.53,0.67
3,1,17,2,12,2814,4736163.128984,2199822.023894,0.53,0.67,1,0,0,1,0,0,1,0,0,0.7,0.52
4,1,17,2,18,2814,4736163.128984,2199822.023894,0.7,0.52,1,0,0,1,0,0,1,0,0,0.87,0.8299999999999998
2,20,23,22,6,2814,4736160.086304,2199821.69318,0.21,0.15,1,0,0,0,0,1,1,0,0,0.27,0.15
3,20,23,22,12,2814,4736160.086304,2199821.69318,0.27,0.15,1,0,0,0,0,1,1,0,0,0.29,0.22
4,20,23,22,18,2814,4736160.086304,2199821.69318,0.29,0.22,1,0,0,0,0,1,1,0,0,0.32,0.25
2,2,7,11,6,2814,4736162.004545,2199824.074516,0.26,0.1,1,0,0,1,0,0,1,0,0,0.36,0.1
3,2,7,11,12,2814,4736162.004545,2199824.074516,0.36,0.1,1,0,0,1,0,0,1,0,0,0.36,0.24
4,2,7,11,18,2814,4736162.004545,2199824.074516,0.36,0.24,1,0,0,1,0,0,1,0,0,0.42,0.3
2,22,25,28,6,2814,4736164.280005,2199823.730504,0.24,0.09,1,0,0,0,1,0,1,0,0,0.17,0.1
3,22,25,28,12,2814,4736164.280005,2199823.730504,0.17,0.1,1,0,0,0,1,0,1,0,0,0.23,0.16
4,22,25,28,18,2814,4736164.280005,2199823.730504,0.23,0.16,1,0,0,0,1,0,1,0,0,0.23,0.16
2,8,13,13,6,2814,4736167.0052,2199823.598227,0.25,0.13,1,0,0,0,1,0,1,0,0,0.47,0.14
3,8,13,13,12,2814,4736167.0052,2199823.598227,0.47,0.14,1,0,0,0,1,0,1,0,0,0.47,0.23
4,8,13,13,18,2814,4736167.0052,2199823.598227,0.47,0.23,1,0,0,0,1,0,1,0,0,0.52,0.23
2,11,20,0,6,2814,4736169.743573,2199823.611414,0.25,0.13,1,0,0,0,1,0,1,0,0,0.37,0.13
3,11,20,0,12,2814,4736169.743573,2199823.611414,0.37,0.13,0,0,1,0,1,0,1,0,0,0.37,0.2
2,2,6,18,6,2814,4736172.191043,2199823.413048,0.37,0.12,0,0,1,1,0,0,1,0,0,0.4,0.22
3,2,6,18,12,2814,4736172.191043,2199823.413048,0.4,0.22,1,0,0,1,0,0,1,0,0,0.44,0.28
4,2,6,18,18,2814,4736172.191043,2199823.413048,0.44,0.28,1,0,0,1,0,0,1,0,0,0.49,0.36
2,11,20,0,6,2814,4736174.903054,2199823.677554,0.25,0.12,1,0,0,0,1,0,1,0,0,0.35,0.17
